292,-1.10900,in
293,-1.11500,in
294,-1.12200,in
295,-1.12900,in
296,-1.13500,in
297,-1.14200,in
298,-1.14900,in
299,-1.15500,in
300,-1.16200,in
301,-1.16900,in
302,-1.17500,in
303,-1.18200,in
304,-1.18900,in
305,-1.19600,in
306,-1.20200,in
307,-1.20900,in
308,-1.21600,in
309,-1.22200,in
310,-1.22900,in
311,-1.23600,in
312,-1.24300,in
313,-1.24900,in
314,-1.25600,in
315,-1.26300,in
316,-1.27000,in
317,-1.27700,in
318,-1.28300,in
319,-1.29000,in
320,-1.29700,in
321,-1.30400,in
322,-1.31100,in
323,-1.31800,in
324,-1.32500,in
325,-1.33100,in
326,-1.33800,in
327,-1.34500,in
328,-1.35200,in
329,-1.35900,in
330,-1.36600,in
331,-1.37300,in
332,-1.38000,in
333,-1.38700,in
334,-1.39400,in
335,-1.40000,in
336,-1.40700,in
337,-1.41400,in
338,-1.42100,in
339,-1.42800,in
340,-1.43500,in
341,-1.44200,in
342,-1.44900,in
343,-1.45600,in
344,-1.46300,in
345,-1.47000,in
346,-1.47700,in
347,-1.48400,in
348,-1.49100,in
349,-1.49800,in
350,-1.50500,in
351,-1.51300,in
352,-1.52000,in
353,-1.52700,in
354,-1.53400,in
355,-1.54100,in
356,-1.54800,in
357,-1.55500,in
358,-1.56200,in
359,-1.56900,in
360,-1.57600,in
361,-1.58400,in
362,-1.59100,in
363,-1.59800,in
364,-1.60500,in
365,-1.61200,in
366,-1.61900,in
367,-1.62700,in
368,-1.63400,in
369,-1.64100,in
370,-1.64800,in
371,-1.65500,in
372,-1.66300,in
373,-1.67000,in
374,-1.67700,in
375,-1.68400,in
376,-1.69200,in
377,-1.69900,in
378,-1.70600,in
379,-1.71300,in
380,-1.72100,in
381,-1.72800,in
382,-1.73500,in
383,-1.74300,in
384,-1.75000,in
385,-1.75700,in
386,-1.76500,in
387,-1.77200,in
388,-1.77900,in
389,-1.78700,in
390,-1.79400,in
391,-1.80100,in
392,-1.80900,in
393,-1.81600,in
394,-1.82300,in
395,-1.83100,in
396,-1.83800,in
397,-1.84600,in
398,-1.85300,in
399,-1.86100,in
400,-1.86800,in
401,-1.87500,in
402,-1.88300,in
403,-1.89000,in
404,-1.89800,in
405,-1.90500,in
406,-1.91300,in
407,-1.92000,in
408,-1.92800,in
409,-1.93500,in
410,-1.94300,in
411,-1.95000,in
412,-1.95800,in
413,-1.96500,in
414,-1.97300,in
415,-1.98000,in
416,-1.98800,in
417,-1.99600,in
418,-2.00300,in
419,-2.01100,in
420,-2.01800,in
421,-2.02600,in
422,-2.03300,in
423,-2.04100,in
424,-2.04900,in
425,-2.05600,in
426,-2.06400,in
427,-2.07200,in
428,-2.07900,in
429,-2.08700,in
430,-2.09500,in
431,-2.10200,in
432,-2.11000,in
433,-2.11800,in
434,-2.12500,in
435,-2.13300,in
436,-2.14100,in
437,-2.14800,in
438,-2.15600,in
439,-2.16400,in
440,-2.17200,in
441,-2.17900,in
442,-2.18700,in
443,-2.19500,in
444,-2.20300,in
445,-2.21000,in
446,-2.21800,in
447,-2.22600,in
448,-2.23400,in
449,-2.24200,in
450,-2.25000,in
451,-2.25700,in
452,-2.26500,in
453,-2.27300,in
454,-2.28100,in
